GeneSymbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
PXDN	-0.226493594	6.1917633042	-1.1826331755	0.2472092403	0.7851627091	-5.3440443528
TAF5	-0.2506828822	7.6322086563	-1.1815081978	0.2476480937	0.7853139063	-5.3452742105
FGF5	0.298086841	3.7437996048	1.1812071518	0.2477656293	0.7853139063	-5.3456031447
NUP37	-0.2463326448	5.6441662195	-1.1810181642	0.2478394357	0.7853139063	-5.3458096013
ZNF517	-0.26792293	4.2738190014	-1.1809808789	0.2478539988	0.7853139063	-5.3458503295
KCNAB3	0.2650142835	5.5055973782	1.1806181414	0.2479957123	0.7853139063	-5.3462465024
BGN	0.3056575907	4.2008727555	1.1803299249	0.2481083548	0.7853139063	-5.3465612075
LOC728145	0.249355139	4.1077408152	1.1801622717	0.2481738953	0.7853139063	-5.3467442372
NFE2L3	-0.2650840848	5.334838998	-1.1800431142	0.2482204853	0.7853139063	-5.3468743092
PPDPF	0.2336438023	6.8248956567	1.179779821	0.2483234545	0.7853139063	-5.3471616776
TUBA1A	-0.2383275253	8.9846924021	-1.1797166589	0.2483481608	0.7853139063	-5.3472306066
SNORD71	0.3560093564	9.3763690524	1.1794845192	0.2484389793	0.7853139063	-5.347483913
SCARNA6	-0.2240080801	6.3686356424	-1.179370951	0.2484834187	0.7853139063	-5.3476078202
OTTHUMG00000169889	-0.2843866187	3.5882379043	-1.1786514634	0.2487650921	0.785793013	-5.3483925597
OTTHUMG00000160454	0.2503328325	3.896492718	1.1783879856	0.2488683005	0.785793013	-5.3486798255
FAXDC2	-0.2654189403	3.7840399773	-1.1782002854	0.2489418448	0.785793013	-5.348884437
RRAS	0.2440013191	3.9100588989	1.1778419224	0.2490823025	0.7859134827	-5.3492750064
CYB561	0.3404231792	3.4883355067	1.1773685527	0.2492679259	0.7861763033	-5.349790755
TRAPPC2L	-0.2467470342	7.549483232	-1.1767747907	0.2495009033	0.7865881986	-5.3504374112
OTX1	0.259364535	3.8142076764	1.1764563549	0.2496259157	0.7866595203	-5.3507840937
SPTY2D1	0.2281777871	5.3777550735	1.1760918978	0.249769052	0.7867878748	-5.3511807765
APOA1BP	0.2788368975	6.8559491523	1.175617655	0.2499553961	0.7868098289	-5.3516967874
APRT	0.2634074674	5.6000552131	1.1755529212	0.2499808398	0.7868098289	-5.351767208
CRBN	-0.2437555532	7.628538837	-1.1749691188	0.2502103911	0.787193152	-5.35240214
ALG14	-0.2500862195	5.7972898072	-1.1745467261	0.2503765729	0.787193152	-5.3528613496
SNPH	0.3221162231	4.0070983967	1.1741073092	0.250549539	0.787193152	-5.35333891
LOC100130417	0.2444896712	3.7152253946	1.174094632	0.2505545303	0.787193152	-5.3533526852
CAPN6	-0.2552129656	4.3675787345	-1.1738368913	0.2506560263	0.787193152	-5.3536327217
PSMB1	-0.2588985515	9.5204923867	-1.1731644386	0.2509209748	0.787193152	-5.354363085
WDR61	-0.2381737426	3.7091953404	-1.1729211767	0.2510168716	0.787193152	-5.3546272038
WIBG	-0.2719145447	3.9015630527	-1.1728855073	0.2510309351	0.787193152	-5.3546659272
WRAP53	0.2320619877	4.1256932567	1.1725780503	0.251152182	0.787193152	-5.3549996656
ZBTB47	0.2521222274	4.7022735076	1.1720751146	0.2513506098	0.787193152	-5.3555454228
EFNB3	0.2838553393	4.3543904213	1.1720029123	0.2513791059	0.787193152	-5.3556237554
MRPL35	-0.237650757	6.6371159608	-1.1719302469	0.2514077871	0.787193152	-5.355702586
USP2-AS1	-0.2443874819	4.6654699051	-1.1718623329	0.2514345952	0.787193152	-5.3557762581
HEXIM1	0.2683105809	6.2023838312	1.1705780777	0.2519419326	0.7884602315	-5.357168678
LOC730183	0.2883459125	4.7288808995	1.1695496588	0.2523487466	0.7889884869	-5.3582827255
OTTHUMG00000170505	0.2558208813	3.8553810005	1.1692324422	0.2524743262	0.7889884869	-5.3586261768
KCNJ9	0.2419968712	4.4900446393	1.1691863546	0.2524925752	0.7889884869	-5.3586760691
ZNF506	0.252150519	6.3581333048	1.1691133087	0.2525215006	0.7889884869	-5.3587551415
SMAD6	-0.3138139517	4.9891540321	-1.168845732	0.2526274791	0.7889987487	-5.3590447559
NYAP2	0.2728639497	3.8042376693	1.1678046712	0.2530401211	0.7899663755	-5.3601709928
C3P1	-0.2478785057	3.7393027046	-1.1673860661	0.2532061819	0.790163727	-5.3606235926
FAM118A	0.2287146158	5.3341607866	1.166803654	0.2534373584	0.7905640377	-5.3612530595
RNA5SP383	-0.3003724016	4.6220618002	-1.1664699494	0.2535698855	0.790613047	-5.3616135978
PEX10	-0.2356109804	3.8882248109	-1.1662459369	0.2536588782	0.790613047	-5.3618555716
NTAN1	-0.3277367487	6.2708285653	-1.1658523955	0.2538152746	0.7907303536	-5.3622805659
PEX1	-0.2581134506	7.330568618	-1.1656333553	0.2539023536	0.7907303536	-5.3625170566
ANXA2P2	0.3264275842	5.6789875996	1.1653197754	0.2540270548	0.7907981614	-5.3628555492
CCT6P3	0.2734110174	4.920674326	1.1642179035	0.2544655929	0.7909359823	-5.3640443114
GIPC3	-0.2324948862	4.7539213295	-1.1638192166	0.2546244048	0.7909359823	-5.3644741885
TSPAN3	0.2301405353	8.1489346154	1.1637284116	0.254660586	0.7909359823	-5.3645720788
SCRT1	-0.233558122	4.6609796612	-1.163420851	0.2547831613	0.7909359823	-5.3649035868
TRIP10	-0.2300224505	5.1552573796	-1.1630616157	0.254926386	0.7909359823	-5.3652906933
ZNF717	0.2885456198	5.1433888757	1.1628076155	0.2550276898	0.7909359823	-5.3655643352
OTTHUMG00000162794	0.2810762288	4.1890214794	1.1627792908	0.2550389885	0.7909359823	-5.3655948469
GPC6	-0.2628529673	7.4024489155	-1.162743628	0.2550532149	0.7909359823	-5.3656332624
PLOD1	-0.2610105757	6.5702961598	-1.1624147458	0.2551844377	0.7909359823	-5.3659874794
INTS12	-0.2359149201	5.1732257662	-1.1623784037	0.2551989411	0.7909359823	-5.3660266156
C20orf141	-0.2468157769	3.9413001468	-1.1623663904	0.2552037355	0.7909359823	-5.3660395522
STX5	0.2188113822	6.2277094385	1.1620482962	0.2553307082	0.7910104158	-5.3663820517
LOC100505722	0.2599469951	4.3561575571	1.1614424266	0.2555726795	0.7914409096	-5.3670341725
CD68	-0.238142993	5.1820587009	-1.1607962511	0.2558309336	0.7918005139	-5.3677293391
AQP11	-0.255664124	4.364284766	-1.1606362233	0.2558949207	0.7918005139	-5.3679014459
PROCA1	0.2462462339	4.1770859134	1.1601546698	0.2560875409	0.7919067887	-5.3684192187
RNA5SP413	-0.2925561199	4.4015128253	-1.1594237223	0.2563801211	0.7919067887	-5.3692047739
FAM111B	0.2721556606	6.9836650775	1.1588262968	0.2566194379	0.7919067887	-5.3698465011
DCAF4	-0.2251256467	4.9279293772	-1.1588048816	0.2566280194	0.7919067887	-5.3698694988
FLJ38717	0.254075028	4.9658030153	1.1585793922	0.2567183907	0.7919067887	-5.3701116278
EEF1A1	-0.4835545498	8.3575672566	-1.1585624201	0.2567251937	0.7919067887	-5.3701298506
NPIPA5	0.255347703	9.0930553264	1.1585191486	0.256742539	0.7919067887	-5.3701763098
EXO5	-0.2385883194	4.5620186446	-1.1584909383	0.2567538475	0.7919067887	-5.3702065974
NACAD	0.2339152506	5.7216678177	1.1581291613	0.2568989034	0.7919185004	-5.3705949559
PRADC1	-0.2338460784	5.2776203032	-1.1579673718	0.256963793	0.7919185004	-5.3707685974
SNORA64	-0.3102018133	6.642121904	-1.1576646731	0.2570852298	0.7919750685	-5.3710934121
INO80B	-0.245673276	5.4445325639	-1.1561337338	0.2577000573	0.7932627344	-5.3727350348
SUSD4	0.2843976019	5.121191515	1.1557567689	0.2578516121	0.7932627344	-5.3731389533
SLC26A10	0.2657982403	4.1992863206	1.1556826988	0.2578813989	0.7932627344	-5.3732183056
LINC00273	-0.2886705458	3.648874307	-1.1551791814	0.2580839517	0.7932627344	-5.3737576091
NLGN1	-0.2979694627	4.8655086598	-1.1549431261	0.2581789511	0.7932627344	-5.3740103686
KIAA1239	0.3369923429	5.6685923003	1.1546444392	0.258299193	0.7932627344	-5.3743301251
SLA	0.2474814803	3.4717524238	1.1546382022	0.2583017043	0.7932627344	-5.3743368012
XRCC6BP1	-0.3151213832	5.4787134206	-1.154569878	0.2583292154	0.7932627344	-5.3744099342
CRH	-0.3574850055	4.4891011244	-1.154079737	0.2585266362	0.7935517963	-5.374934458
HSP90AA1	-0.2443034319	9.1597027396	-1.1530077866	0.2589587854	0.7945608418	-5.3760809055
NOL12	-0.2501305129	5.8240654346	-1.1523094124	0.2592406141	0.7951080392	-5.3768272981
CDHR3	0.2357149283	3.6356773625	1.1510448775	0.2597514876	0.7956517123	-5.3781777423
FGF10	0.3092088641	3.9833157439	1.1510340494	0.2597558654	0.7956517123	-5.3781893003
ADAMTSL5	-0.2522971375	3.5452898131	-1.1509383578	0.2597945553	0.7956517123	-5.3782914377
NDUFB3	-0.2963954387	5.5249697884	-1.1508454694	0.2598321159	0.7956517123	-5.3783905758
KCTD21-AS1	0.2413659677	3.6304405712	1.1502122867	0.2600882568	0.7957262645	-5.3790661677
ARHGAP22-IT1	-0.2943412716	4.9355895685	-1.1501455421	0.2601152677	0.7957262645	-5.3791373632
BAIAP2-AS1	0.2656119293	3.9005015291	1.1500155298	0.2601678883	0.7957262645	-5.3792760347
VAMP7	-0.2350574724	7.3424791807	-1.1496509368	0.2603154936	0.7957262645	-5.3796648354
MOB1B	0.2427020274	5.4814744594	1.1495056976	0.2603743107	0.7957262645	-5.379819687
MIR4681	-0.2792054029	4.8756264575	-1.1490577216	0.2605557872	0.7958437529	-5.3802972004
DPY19L2	0.2651405729	5.516842597	1.1487928681	0.2606631237	0.7958437529	-5.3805794383
TMEM62	0.2506975638	5.6567527697	1.1484976588	0.2607828005	0.7958437529	-5.3808939552
ZRANB3	-0.2362766374	5.8960405787	-1.148388422	0.2608270949	0.7958437529	-5.381010318
NAIF1	0.2357661738	4.6592891206	1.1464143215	0.2616285189	0.7979721757	-5.3831114771
SVOP	0.2383690504	5.3041458258	1.1459555924	0.2618150059	0.7979726782	-5.3835992645
C6orf106	0.2201796298	5.670221019	1.1453849342	0.2620471307	0.7979726782	-5.3842058253
PODN	-0.2559357875	3.6956032206	-1.1453757772	0.2620508566	0.7979726782	-5.3842155561
ACVRL1	-0.2780722491	3.9148980919	-1.1453181589	0.2620743025	0.7979726782	-5.3842767839
ACTL6A	-0.2428901545	7.4102761253	-1.1451370851	0.2621479942	0.7979726782	-5.3844691828
NBPF3	0.2708553367	4.6500923548	1.1439880878	0.2626159549	0.7984209641	-5.3856894032
CCNE2	-0.2804467747	6.2585260293	-1.1436142802	0.2627683296	0.7984209641	-5.386086144
DDX11L1	-0.3750365982	4.041309777	-1.1432983767	0.2628971511	0.7984209641	-5.3864213368
LOC100996709	0.2271806161	6.4236151985	1.1429793968	0.2630272739	0.7984209641	-5.3867597092
OTTHUMG00000170029	-0.2182417893	4.8992238731	-1.1429509457	0.2630388823	0.7984209641	-5.3867898858
SDC1	-0.2403666013	5.1956682248	-1.1423768714	0.2632731926	0.7984209641	-5.3873986327
ARF4	0.2307544688	8.6345624658	1.1418226949	0.2634995257	0.7984209641	-5.3879860182
FBXL18	-0.2488991612	4.4384550273	-1.1417607508	0.2635248333	0.7984209641	-5.3880516584
OTTHUMG00000153019	-0.2447655511	3.6330200724	-1.1417508218	0.26352889	0.7984209641	-5.3880621795
TP53INP1	0.331368327	5.9826504652	1.1417263104	0.2635389049	0.7984209641	-5.3880881523
IGSF1	-0.2316472705	5.1274446711	-1.1413755553	0.2636822468	0.7984209641	-5.3884597651
ITGA3	0.2451951329	4.6906254373	1.1413080581	0.2637098372	0.7984209641	-5.3885312642
ASIC4	0.2358324458	3.6396770363	1.1411524583	0.2637734487	0.7984209641	-5.3886960749
CD27	0.2326693548	3.7764333891	1.1408347688	0.2639033596	0.7984209641	-5.3890325075
METTL18	-0.3530084767	5.2739577714	-1.1407369473	0.2639433705	0.7984209641	-5.3891360833
SAMD15	0.2726933483	3.5319829735	1.1405030804	0.2640390447	0.7984209641	-5.3893836747
DNM1P41	0.2653663564	5.5930491718	1.1404234015	0.2640716468	0.7984209641	-5.3894680191
PIP4K2C	-0.2416504281	5.3280373066	-1.1401932539	0.2641658325	0.7984209641	-5.3897116128
LOC340239	-0.255266191	3.5635702534	-1.139430772	0.2644780456	0.7985394539	-5.3905183246
TMEM183B	0.2336503279	5.9226744705	1.1394129056	0.2644853646	0.7985394539	-5.3905372217
LOC100293962	0.2420937747	4.1283148656	1.1393360657	0.2645168437	0.7985394539	-5.3906184907
PDSS2	-0.2623755859	4.7358689049	-1.1388763983	0.2647052133	0.798555068	-5.3911045504
NOTCH1	0.2518625688	3.8165506878	1.1388161947	0.2647298917	0.798555068	-5.3911681976
HIST1H2AM	-0.2539829638	5.5429485334	-1.1380955444	0.2650254275	0.7991327943	-5.391929832
CA9	0.2537381491	4.0632830209	1.1365188796	0.2656728484	0.8007706921	-5.3935946444
CA5B	0.2166464215	4.2741172049	1.1344835266	0.2665103183	0.8016124876	-5.3957407053
ZBTB14	-0.2332083836	5.3214099164	-1.134273448	0.2665968668	0.8016124876	-5.3959620127
GGTLC1	-0.2498840641	3.5227646432	-1.1333663127	0.2669708238	0.8016124876	-5.3969172092
IGHJ1	-0.3317366895	4.1604946967	-1.132986686	0.2671274339	0.8016124876	-5.3973167439
ZFPM1	-0.2406196882	4.7845302714	-1.1326213429	0.2672782145	0.8016124876	-5.3977011317
HIST1H2AH	0.2677966061	4.8687445838	1.1325254024	0.2673178203	0.8016124876	-5.3978020549
NDUFB2	-0.2400924138	4.050751483	-1.1324754774	0.2673384319	0.8016124876	-5.3978545697
MIR877	0.2610159634	4.3321276315	1.1324752354	0.2673385318	0.8016124876	-5.3978548243
TSPAN18	0.2326401964	4.5890108275	1.1322582936	0.2674281097	0.8016124876	-5.3980829952
STK24-AS1	-0.2298172788	4.1912428512	-1.1322224515	0.2674429114	0.8016124876	-5.3981206887
OTTHUMG00000020443	-0.2375713911	3.7878809393	-1.132220125	0.2674438722	0.8016124876	-5.3981231354
ZCCHC9	-0.2378353526	5.3075515115	-1.1321832686	0.2674590935	0.8016124876	-5.3981618944
MMP24-AS1	0.2151383999	5.2060617864	1.1321196263	0.2674853785	0.8016124876	-5.3982288194
GSTO1	-0.2575839777	4.4389841483	-1.1318335087	0.2676035716	0.8016124876	-5.398529653
KC6	-0.2467945022	6.1992207712	-1.1316347132	0.2676857149	0.8016124876	-5.3987386328
RNA5SP129	0.2754156124	4.7101351716	1.131131608	0.2678936822	0.8016124876	-5.3992673636
KCNJ4	0.2579915235	3.8419668242	1.130895574	0.2679912914	0.8016124876	-5.3995153468
SYNGR2	0.2458822844	5.8155361581	1.1308554293	0.2680078953	0.8016124876	-5.3995575191
PXK	0.2305632713	6.179737059	1.1307412295	0.2680551327	0.8016124876	-5.3996774795
RPP21	-0.2889172578	7.8962539905	-1.1305395491	0.2681385702	0.8016124876	-5.3998893066
TCAIM	0.2521699942	5.5834309877	1.1304149571	0.2681901247	0.8016124876	-5.4000201499
QRFP	-0.231369645	4.0004807946	-1.1296866001	0.2684916533	0.8016124876	-5.4007847903
ZNF267	-0.2841802946	4.6401929969	-1.1295864212	0.2685331451	0.8016124876	-5.4008899249
CCDC64B	-0.2521444024	3.5847516397	-1.1293440069	0.2686335666	0.8016124876	-5.4011442958
GEMIN8	0.2307453302	4.597062229	1.1291784536	0.2687021637	0.8016124876	-5.4013179864
HIST1H2AB	-0.3016066263	7.6621675802	-1.1289565622	0.2687941244	0.8016124876	-5.4015507481
NKX3-2	0.2419332731	3.7494279362	1.1289501345	0.2687967886	0.8016124876	-5.40155749
SNORA74A	-0.266920325	6.7831265018	-1.1287372028	0.2688850581	0.8016124876	-5.401780813
SNX2	-0.2721086103	6.5341428619	-1.128368925	0.2690377751	0.8016124876	-5.4021669731
GFRA2	-0.2393676803	7.8558441098	-1.1279001681	0.2692322494	0.8016124876	-5.4026583263
GANC	0.2552115632	4.9155904407	1.1278814821	0.2692400038	0.8016124876	-5.4026779093
H3F3B	0.2417855229	9.9739679176	1.1273606737	0.2694561969	0.8016124876	-5.4032235982
NDC80	-0.2710107097	6.8251216514	-1.1273158933	0.2694747916	0.8016124876	-5.4032705073
FAM63A	0.2393177138	4.995231917	1.1272562687	0.2694995517	0.8016124876	-5.4033329635
SBDSP1	-0.2329202102	4.9969900741	-1.1269519662	0.2696259438	0.8016780675	-5.4036516712
MEST	-0.2508471525	3.6899393389	-1.1265282722	0.2698019967	0.8018911957	-5.4040952924
JAZF1	0.2310256104	4.3964487087	1.1260590594	0.2699970608	0.8019150408	-5.4045863971
MIR1254-1	0.261899659	6.1755289698	1.1259285583	0.2700513316	0.8019150408	-5.404722954
STX3	0.2465710437	4.8865070634	1.1257559024	0.2701231453	0.8019150408	-5.4049035999
HIST1H3E	0.2470147671	6.7399698867	1.1245392249	0.2706295968	0.8028235067	-5.4061758703
NXT2	-0.2442931308	4.1755134257	-1.1245186988	0.2706381469	0.8028235067	-5.4061973235
LINC00516	-0.2502524858	4.6796518848	-1.1237601971	0.2709542339	0.8032613157	-5.4069898395
FKBP3	-0.2351943835	6.6980075597	-1.1230407571	0.2712542898	0.8032613157	-5.4077410945
SPHK1	-0.2282185753	3.9821742628	-1.1230255424	0.2712606379	0.8032613157	-5.4077569774
MCC	0.2291062368	5.7305451064	1.1230158877	0.2712646663	0.8032613157	-5.4077670559
GFOD1	0.2176715681	3.9165882211	1.1229108678	0.2713084881	0.8032613157	-5.4078766814
THUMPD2	-0.2218887258	6.4793896952	-1.1224474726	0.2715019109	0.8035243379	-5.4083602874
HERC5	-0.3084911609	4.0698335459	-1.122159906	0.2716219923	0.803551767	-5.4086603052
CCBE1	-0.3148910051	4.8053380449	-1.1219244181	0.2717203554	0.803551767	-5.4089059375
MIR3187	0.2928023603	3.4708532203	1.1209794485	0.2721153276	0.8037047842	-5.409891145
OTTHUMG00000016040	-0.2474452224	3.6547045485	-1.1209430088	0.2721305667	0.8037047842	-5.4099291213
IGKV1-9	-0.3166262364	4.0965493467	-1.1207507792	0.2722109676	0.8037047842	-5.4101294383
LOC220729	0.226230755	8.3709203288	1.1206481829	0.272253886	0.8037047842	-5.4102363383
ZNF573	0.2130862153	3.5493356071	1.1202126642	0.2724361279	0.8037047842	-5.4106900271
SPG7	0.2296804886	4.5935867896	1.1201769582	0.2724510729	0.8037047842	-5.4107272157
ENOSF1	0.219700073	6.2399369539	1.1199751961	0.2725355331	0.8037047842	-5.4109373353
ASAH2C	0.2545902504	4.3377533943	1.1197998186	0.2726089636	0.8037047842	-5.4111199494
TATDN1	0.2614293173	5.7116691309	1.1189877641	0.2729491574	0.8043990702	-5.4119651741
ACTR3BP5	0.3046231554	4.3074345003	1.1176407221	0.2735141492	0.8053671967	-5.4133660134
CCNB1	-0.240265235	7.2793425738	-1.1173641886	0.2736302404	0.8053671967	-5.4136534016
HIST2H2BA	-0.2317463119	10.0940792167	-1.1173590414	0.2736324016	0.8053671967	-5.4136587503
LOC100505478	0.3038350921	3.6239116029	1.1172052964	0.2736969609	0.8053671967	-5.4138185017
GLTSCR1L	0.2207393389	5.6617861704	1.116680073	0.2739175911	0.8057078302	-5.4143640938
SNORD42A	-0.2322095628	9.8739013296	-1.1159573283	0.2742214037	0.806292784	-5.4151144869
EHD4	-0.2527874008	4.531010341	-1.1153108718	0.2744933537	0.8066274515	-5.4157853002
TCEAL1	-0.2399341572	4.7894631898	-1.1147864777	0.2747140977	0.8066274515	-5.4163291931
DNAJC18	0.2169170394	5.6706214903	1.1146290999	0.2747803709	0.8066274515	-5.4164923775
DDX39B-AS1	-0.2424420562	3.740398163	-1.114503492	0.2748332738	0.8066274515	-5.4166226049
GOPC	-0.2204077507	8.2913071428	-1.1144396443	0.2748601677	0.8066274515	-5.4166887956
CTAG1A	0.2953334046	5.3490270014	1.1138303162	0.2751169237	0.8070726707	-5.4173203108
ZBTB40-IT1	0.2257332733	5.3833909229	1.1133731622	0.2753096707	0.8072941033	-5.4177939053
CDT1	-0.2315273474	6.7920548964	-1.1131529388	0.2754025569	0.8072941033	-5.4180219855
GPER	-0.2522719113	4.3921017502	-1.1125266739	0.2756668273	0.807558297	-5.4186703697
LOC100129033	-0.2490120616	3.6433058629	-1.1122362263	0.275789452	0.807558297	-5.4189709633
POMP	-0.2556598373	8.7761395719	-1.1120574712	0.2758649405	0.807558297	-5.4191559274
NSUN5P2	-0.2319036863	6.3268003186	-1.1117544642	0.2759929348	0.807558297	-5.4194693976
LOC399900	-0.2518249775	3.8725382012	-1.1116945854	0.2760182335	0.807558297	-5.4195313349
CRIP3	-0.2224650201	3.7661085881	-1.1111547208	0.2762464006	0.8075626913	-5.4200896221
BIN3-IT1	-0.244384604	4.8682927201	-1.1110160835	0.2763050159	0.8075626913	-5.4202329507
CALB1	0.3138833706	3.991771216	1.1107158812	0.2764319709	0.8075626913	-5.4205432556
LRR1	-0.2453432985	5.7062853948	-1.1106964806	0.2764401768	0.8075626913	-5.4205633064
AAED1	-0.264218801	4.8320975759	-1.1100663534	0.2767067986	0.807802845	-5.4212143813
TAB1	-0.2303411311	3.9565098299	-1.1100052377	0.276732668	0.807802845	-5.4212775109
GATM	0.2535401405	3.5748952589	1.1093289081	0.2770190643	0.8081470429	-5.4219759159
PNO1	-0.245404955	6.7700357132	-1.1089309121	0.277187698	0.8081470429	-5.4223867219
C21orf119	-0.2634190943	5.2662095319	-1.1087627087	0.2772589891	0.8081470429	-5.4225602989
CDKN2D	-0.2388900951	4.5287819444	-1.1087336022	0.277271327	0.8081470429	-5.4225903328
ACER2	-0.2215390257	5.4049290602	-1.1080383339	0.2775661582	0.8086308206	-5.4233075421
OTTHUMG00000172035	0.2898262847	4.2289185333	1.1078431856	0.2776489521	0.8086308206	-5.4235087754
ATP5C1	-0.2381151449	9.7591234869	-1.107380383	0.2778453724	0.8086308206	-5.4239858801
IGLJ4	-0.3834532417	3.4900601826	-1.1073499168	0.2778583062	0.8086308206	-5.4240172814
LOC100506735	-0.2283742	3.8688141621	-1.1069143953	0.2780432454	0.8088626484	-5.4244660853
AVEN	0.2207384226	4.8870513352	1.1062740082	0.2783153392	0.8091440889	-5.4251257116
HCCS	-0.2285777201	7.0101367284	-1.1060517423	0.2784098223	0.8091440889	-5.4253545739
CHPF	0.2246806974	3.796113601	1.1058477864	0.2784965423	0.8091440889	-5.4255645462
CAPS	-0.2240901436	3.7424155878	-1.1055491198	0.2786235674	0.8091440889	-5.4258719593
PMPCB	-0.2316464407	8.5473839596	-1.1054480321	0.2786665702	0.8091440889	-5.4259759904
NPIPA1	0.2402589178	9.2119505858	1.1052000905	0.2787720649	0.8091446071	-5.4262311146
KIF18A	-0.2452419174	6.9616013115	-1.1036577971	0.2794289273	0.8105764851	-5.4278169187
VAV2	0.2176985449	6.2134921608	1.1034556737	0.2795150939	0.8105764851	-5.4280245952
SNAR-E	0.2324545683	11.2653664459	1.1032990116	0.2795818932	0.8105764851	-5.4281855376
SEPT7P2	-0.2234351267	5.7073247457	-1.1028667997	0.2797662437	0.8107129069	-5.4286294506
MIR326	-0.2604039038	4.6984640562	-1.1023976661	0.2799664411	0.8107129069	-5.4291111061
TM2D2	0.2365544909	4.5724345455	1.1023768377	0.2799753318	0.8107129069	-5.4291324861
NR6A1	-0.241842409	6.6675860885	-1.1021995193	0.2800510289	0.8107129069	-5.4293144857
RNF181	-0.2609298898	6.2260262764	-1.1012916737	0.2804388175	0.8107233899	-5.4302458816
ZNF549	0.2494724435	4.6850844786	1.1012807619	0.2804434808	0.8107233899	-5.4302570722
CCDC104	-0.243089462	6.2330960735	-1.1011360883	0.2805053148	0.8107233899	-5.430405433
FAM210B	-0.2238642187	6.5738472523	-1.1009103094	0.2806018331	0.8107233899	-5.4306369307
DMD	0.2379330622	3.664464224	1.100760538	0.280665872	0.8107233899	-5.4307904719
BRSK1	0.2464974195	4.8876836546	1.1007093052	0.2806877804	0.8107233899	-5.4308429899
DARS	-0.2275696494	8.7384684417	-1.099945307	0.2810146304	0.8111670196	-5.4316258893
PHF19	-0.2245629967	5.9292544745	-1.0996897773	0.2811240108	0.8111670196	-5.4318876305
ACP6	-0.2249778132	5.1485614896	-1.0996101265	0.2811581118	0.8111670196	-5.4319692061
PHF20L1	0.2358353472	6.1118955389	1.0992687254	0.28130431	0.8112841644	-5.4323187967
CCDC117	0.2166827012	6.8640698611	1.0989359941	0.281446848	0.8113906692	-5.4326594147
NUDT18	-0.2303979052	3.8747646524	-1.09863651	0.2815751875	0.8114561762	-5.432965917
FBXO34	0.2265433623	5.8741261356	1.0979329389	0.2818768576	0.8115076624	-5.4336856771
ZBTB43	0.2193608224	4.8070104631	1.0978542097	0.2819106287	0.8115076624	-5.4337661917
CCDC34	-0.2407535529	5.4041565451	-1.0976478713	0.2819991518	0.8115076624	-5.4339771845
C19orf70	-0.2662367574	4.9917543389	-1.0973281463	0.2821363593	0.8115076624	-5.4343040505
RHOA-IT1	0.2559515251	3.6470989499	1.0967578078	0.2823812344	0.8115076624	-5.4348869122
ARHGDIG	-0.3448462842	6.3709011782	-1.0961444885	0.282644733	0.8115076624	-5.4355133906
UBAC2-IT1	0.2307462291	6.2266400263	1.0960851148	0.282670251	0.8115076624	-5.4355740214
MT1CP	0.2369548232	3.9535703335	1.095914758	0.2827434768	0.8115076624	-5.4357479681
LHPP	-0.2345507301	4.1036397585	-1.0958271243	0.2827811504	0.8115076624	-5.435837439
LOC100996870	0.2872319143	4.2977969868	1.0955532491	0.2828989121	0.8115076624	-5.4361170136
GRASP	0.23068327	4.3937715838	1.0954257827	0.2829537325	0.8115076624	-5.436247111
SLC12A9	-0.222931766	3.6994795146	-1.0951223595	0.2830842584	0.8115076624	-5.4365567415
DHX32	-0.2287019907	6.323149137	-1.0949951595	0.2831389898	0.8115076624	-5.4366865205
CCNE1	0.2355855878	5.9031952779	1.0949863842	0.2831427659	0.8115076624	-5.4366954732
LOC100288310	-0.3172404805	4.7152018818	-1.0948779834	0.2831894149	0.8115076624	-5.4368060603
NANOS1	-0.2368556477	5.3636882946	-1.0946604739	0.283283034	0.8115076624	-5.4370279264
HNF4G	-0.2298166687	3.718611367	-1.0943866426	0.2834009263	0.8115427942	-5.4373071854
CAST	0.2208048628	4.8489908334	1.0939558109	0.2835864829	0.8116172395	-5.4377464279
CD300LG	-0.2347022475	3.9728855513	-1.0937244869	0.2836861485	0.8116172395	-5.437982203
NKRF	0.2209370635	5.6642804828	1.0935906168	0.2837438377	0.8116172395	-5.4381186282
OTTHUMG00000158558	-0.2441224592	4.3022158517	-1.0931389574	0.2839385351	0.8116183775	-5.4385787961
NUP43	-0.2236807707	7.8792543686	-1.0930995849	0.283955512	0.8116183775	-5.4386189022
SLC2A13	-0.2300887068	5.1697366569	-1.0928231893	0.2840747104	0.8116571216	-5.43890041
KIFC2	0.2215829883	3.9219933984	1.0924847898	0.2842206973	0.8117723483	-5.4392449803
MACROD1	-0.2427453879	4.6554360995	-1.0921347009	0.2843717834	0.8119020484	-5.4396013509
CPT2	-0.2401052649	5.3021845351	-1.0908879546	0.2849103018	0.8123443246	-5.4408696229
AMY1A	0.216486074	3.8532149621	1.0908129603	0.284942718	0.8123443246	-5.44094587
ZNF28	0.238825693	4.3844719635	1.0904379576	0.2851048518	0.8123443246	-5.4413270653
ZNF442	-0.2227076734	4.360411064	-1.09033216	0.2851506057	0.8123443246	-5.4414345883
MIR214	0.2229630704	4.2194928547	1.0900756658	0.2852615527	0.8123443246	-5.4416952264
ANKRD36	0.2291017313	6.730196948	1.0898150935	0.2853742951	0.8123443246	-5.4419599512
